head,latency_s,max_hz,nfe,params,seed,train_s
discrete (RT-2),0.00019847363340280328,5038.452628972105,1,93418,0,15.771143707999727
regression,0.00022789583308622242,4387.96965463453,1,104770,0,11.570472041988978
diffusion,0.0005441694336089616,1837.6629377507388,10,105154,0,12.260669750001398
flow (pi-0),0.00035402776702539993,2824.6371983818276,5,105154,0,12.213746459005051
